C:\Cambridge\Election2019\Council\3 Final\Council Detail Report


November 15, 2019 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Final Election Results

CANDIDATES:
	Akiba, Sukia
	Azeem, Burhan
	Carlone, Dennis J.
	Franklin, Charles J.
	Kelley, Craig A.
	Kopon, Derek Andrew
	Levy, Ilan
	Mallon, Alanna M.
	McGovern, Marc C.
	McNary, Jeffery
	Mednick, Risa
	Moree, Gregg J.
	Musgrave, Adriane
	Nolan, Patricia M.
	Pitkin, John
	Siddiqui, Sumbul
	Simmons, E. Denise
	Simon, Ben
	Sobrinho-Wheeler, Jivan
	Toomey, Jr., Timothy J.
	Williams, Nicola A.
	Zondervan, Quinton Y.
	Write-In 1
	Write-In 2
	Write-In 3
	Write-In 4
	Write-In 5
	Write-In 6
	Write-In 7
	Write-In 8
	Write-In 9

ELECTION RULES:
               System:  Proportional Representation
           Quota Type:  Droop
    Surplus Transfers:  Random, every nth ballot (Cambridge style)
                        Avoid exhausted ballots if possible
                        Elected immediately (after the 1st count)
    Simultaneous Drop:  Those with less than 50 votes
                 Ties:  1) Previous Count method
                        2) By election official
                        3) Random (by computer)

--------------------------------------------------
21,239 valid ballots.
Electing 9 candidates.
Quota is 2124 votes.
There were 85 invalid ballots.
(21,324 total ballots processed.)
--------------------------------------------------



********************************************************************************


COUNT 1 -- Tally of 1st place votes.

CANDIDATE                   THIS COUNT          TOTAL  STATUS
Kopon, Derek Andrew                  0              0  DEFEATED -- 9th count
Akiba, Sukia                         0              0  DEFEATED -- 8th count
Franklin, Charles J.                 0              0  DEFEATED -- 7th count
Simon, Ben                           0              0  DEFEATED -- 6th count
Mednick, Risa                        0              0  DEFEATED -- 5th count
Levy, Ilan                           0              0  DEFEATED -- 4th count
McNary, Jeffery                      0              0  DEFEATED -- 3rd count
Moree, Gregg J.                      0              0  DEFEATED -- 2nd count
Write-In 1                           0              0  DEFEATED -- 2nd count
Write-In 2                           0              0  DEFEATED -- 2nd count
Write-In 3                           0              0  DEFEATED -- 2nd count
Write-In 4                           0              0  DEFEATED -- 2nd count
Write-In 5                           0              0  DEFEATED -- 2nd count
Write-In 6                           0              0  DEFEATED -- 2nd count
Write-In 7                           0              0  DEFEATED -- 2nd count
Write-In 8                           0              0  DEFEATED -- 2nd count
Write-In 9                           0              0  DEFEATED -- 2nd count

EXHAUSTED PILE:                    +84            363  
TOTALS:                              0          21239  



-- Azeem, Burhan is declared DEFEATED because s/he has the lowest number of
   votes.


********************************************************************************


COUNT 14 -- Azeem, Burhan has been DEFEATED -- transferring all votes.

CANDIDATE                   THIS COUNT          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Siddiqui, Sumbul                     0           2124  ELECTED -- 1st count
Simmons, E. Denise                   0           2124  ELECTED -- 7th count
Nolan, Patricia M.                   0           2124  ELECTED -- 12th count
Mallon, Alanna M.                 +352           2124  ELECTED -- 14th count
Zondervan, Quinton Y.              +67           2124  ELECTED -- 14th count
Sobrinho-Wheeler, Jivan           +346           2124  ELECTED -- 14th count
McGovern, Marc C.                 +150           2124  ELECTED -- 14th count
Toomey, Jr., Timothy J.            +95           2007  CONTINUING
Carlone, Dennis J.                 +62           1924  CONTINUING
Kelley, Craig A.                   +57           1864  DEFEATED -- 14th count
Azeem, Burhan                    -1342              0  DEFEATED -- 13th count
Musgrave, Adriane                    0              0  DEFEATED -- 12th count
Williams, Nicola A.                  0              0  DEFEATED -- 11th count
Pitkin, John                         0              0  DEFEATED -- 10th count
Kopon, Derek Andrew                  0              0  DEFEATED -- 9th count
Akiba, Sukia                         0              0  DEFEATED -- 8th count
Franklin, Charles J.                 0              0  DEFEATED -- 7th count
Simon, Ben                           0              0  DEFEATED -- 6th count
Mednick, Risa                        0              0  DEFEATED -- 5th count
Levy, Ilan                           0              0  DEFEATED -- 4th count
McNary, Jeffery                      0              0  DEFEATED -- 3rd count
Moree, Gregg J.                      0              0  DEFEATED -- 2nd count
Write-In 1                           0              0  DEFEATED -- 2nd count
Write-In 2                           0              0  DEFEATED -- 2nd count
Write-In 3                           0              0  DEFEATED -- 2nd count
Write-In 4                           0              0  DEFEATED -- 2nd count
Write-In 5                           0              0  DEFEATED -- 2nd count
Write-In 6                           0              0  DEFEATED -- 2nd count
Write-In 7                           0              0  DEFEATED -- 2nd count
Write-In 8                           0              0  DEFEATED -- 2nd count
Write-In 9                           0              0  DEFEATED -- 2nd count

EXHAUSTED PILE:                   +213            576  
TOTALS:                              0          21239  



-- Zondervan, Quinton Y. has been ELECTED because s/he has met the quota.
-- McGovern, Marc C. has been ELECTED because s/he has met the quota.
-- Mallon, Alanna M. has been ELECTED because s/he has met the quota.
-- Sobrinho-Wheeler, Jivan has been ELECTED because s/he has met the quota.
-- Kelley, Craig A. is declared DEFEATED because s/he has the lowest number of
   votes.


********************************************************************************


COUNT 15 -- Kelley, Craig A. has been DEFEATED -- transferring all votes.

CANDIDATE                   THIS COUNT          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Siddiqui, Sumbul                     0           2124  ELECTED -- 1st count
Simmons, E. Denise                   0           2124  ELECTED -- 7th count
Nolan, Patricia M.                   0           2124  ELECTED -- 12th count
Mallon, Alanna M.                    0           2124  ELECTED -- 14th count
Zondervan, Quinton Y.                0           2124  ELECTED -- 14th count
Sobrinho-Wheeler, Jivan              0           2124  ELECTED -- 14th count
McGovern, Marc C.                    0           2124  ELECTED -- 14th count
Carlone, Dennis J.                +200           2124  ELECTED -- 15th count
Toomey, Jr., Timothy J.           +117           2124  ELECTED -- 15th count
Kelley, Craig A.                 -1864              0  DEFEATED -- 14th count
Azeem, Burhan                        0              0  DEFEATED -- 13th count
Musgrave, Adriane                    0              0  DEFEATED -- 12th count
Williams, Nicola A.                  0              0  DEFEATED -- 11th count
Pitkin, John                         0              0  DEFEATED -- 10th count
Kopon, Derek Andrew                  0              0  DEFEATED -- 9th count
Akiba, Sukia                         0              0  DEFEATED -- 8th count
Franklin, Charles J.                 0              0  DEFEATED -- 7th count
Simon, Ben                           0              0  DEFEATED -- 6th count
Mednick, Risa                        0              0  DEFEATED -- 5th count
Levy, Ilan                           0              0  DEFEATED -- 4th count
McNary, Jeffery                      0              0  DEFEATED -- 3rd count
Moree, Gregg J.                      0              0  DEFEATED -- 2nd count
Write-In 1                           0              0  DEFEATED -- 2nd count
Write-In 2                           0              0  DEFEATED -- 2nd count
Write-In 3                           0              0  DEFEATED -- 2nd count
Write-In 4                           0              0  DEFEATED -- 2nd count
Write-In 5                           0              0  DEFEATED -- 2nd count
Write-In 6                           0              0  DEFEATED -- 2nd count
Write-In 7                           0              0  DEFEATED -- 2nd count
Write-In 8                           0              0  DEFEATED -- 2nd count
Write-In 9                           0              0  DEFEATED -- 2nd count

EXHAUSTED PILE:                  +1547           2123  
TOTALS:                              0          21239  



-- Carlone, Dennis J. has been ELECTED because s/he has met the quota.
-- Toomey, Jr., Timothy J. has been ELECTED because s/he has met the quota.


********************************************************************************


ELECTION COUNT SUCCESSFULLY COMPLETED





Friday, November 15, 2019 6:05 PM
ChoicePlus Pro -- Version 2.3.4
(c) 1993-2009 Voting Solutions -- All Rights Reserved
